Region,GOVERNORATE,CODE GOUV,DELEGATION,CODE DELEG,SECTOR,CODE SECTOR,Block,CODE BLOCK,Area,pop_block,Lodging,Cumulative population
Grand Tunis,Tunis,11,Carthage,1151,SIDI BOU SAÏD,115151,Sidi Bou Saïd 4,1151514,Urban,393.333333333333,140.111111111111,1573
Grand Tunis,Tunis,11,Carthage,1151,SIDI BOU SAÏD,115151,Sidi Bou Saïd 9,1151519,Urban,393.333333333333,140.111111111111,3539.66666666667
Grand Tunis,Tunis,11,Carthage,1151,AMILCAR,115152,Amilcar 3,1151523,Urban,407.333333333333,147.111111111111,4761.66666666667
Grand Tunis,Tunis,11,Carthage,1151,AMILCAR,115152,Amilcar 5,1151525,Urban,407.333333333333,147.111111111111,5576.33333333333
Grand Tunis,Tunis,11,Carthage,1151,AMILCAR,115152,Amilcar 9,1151529,Urban,407.333333333333,147.111111111111,7205.66666666667
Grand Tunis,Tunis,11,Carthage,1151,CARTHAGE BYRSA,115153,Carthage Byrsa 4,1151534,Urban,390,129.083333333333,8765.66666666666
Grand Tunis,Tunis,11,Carthage,1151,CARTHAGE BYRSA,115153,Carthage Byrsa 8,1151538,Urban,390,129.083333333333,10325.6666666667
Grand Tunis,Tunis,11,Carthage,1151,CARTHAGE PLAGE,115154,Carthage Plage 4,1151544,Urban,409,158.875,13521.6666666667
Grand Tunis,Tunis,11,Carthage,1151,LE JASMIN,115155,Le Jasmin 1,1151551,Urban,385,122.769230769231,15542.6666666667
Grand Tunis,Tunis,11,Carthage,1151,LE JASMIN,115155,Le Jasmin 5,1151555,Urban,385,122.769230769231,17082.6666666667
Grand Tunis,Tunis,11,Carthage,1151,LE JASMIN,115155,Le Jasmin 7,1151557,Urban,385,122.769230769231,17852.6666666667
Grand Tunis,Tunis,11,Carthage,1151,LE JASMIN,115155,Le Jasmin 8,1151558,Urban,385,122.769230769231,18237.6666666667
Grand Tunis,Tunis,11,Carthage,1151,LE JASMIN,115155,Le Jasmin 10,11515510,Urban,385,122.769230769231,19007.6666666667
Grand Tunis,Tunis,11,Carthage,1151,LE JASMIN,115155,Le Jasmin 12,11515512,Urban,385,122.769230769231,19777.6666666667
Grand Tunis,Tunis,11,Carthage,1151,CITÉ MOHAMED ALI,115156,Cité Mohamed Ali 1,1151561,Urban,405.3,124.4,20567.9666666667
Grand Tunis,Tunis,11,Carthage,1151,CITÉ MOHAMED ALI,115156,Cité Mohamed Ali 4,1151564,Urban,405.3,124.4,21783.8666666667
Grand Tunis,Tunis,11,Carthage,1151,CITÉ MOHAMED ALI,115156,Cité Mohamed Ali 8,1151568,Urban,405.3,124.4,23405.0666666667
Grand Tunis,Tunis,11,Carthage,1151,CITÉ MOHAMED ALI,115156,Cité Mohamed Ali 9,1151569,Urban,405.3,124.4,23810.3666666667
Grand Tunis,Tunis,11,La Medina,1152,LA MEDINA,115251,La Medina 3,1152513,Urban,403.6,124.4,25426.4666666667
Grand Tunis,Tunis,11,La Medina,1152,LA MEDINA,115251,La Medina 5,1152515,Urban,403.6,124.4,26233.6666666666
Grand Tunis,Tunis,11,La Medina,1152,EL HAFSIA,115252,El Hafsia 5,1152525,Urban,392.25,129.125,28194.9166666666
Grand Tunis,Tunis,11,La Medina,1152,EL HAFSIA,115252,El Hafsia 6,1152526,Urban,392.25,129.125,28587.1666666666
Grand Tunis,Tunis,11,La Medina,1152,EL HAFSIA,115252,El Hafsia 7,1152527,Urban,392.25,129.125,28979.4166666666
Grand Tunis,Tunis,11,La Medina,1152,BAB BÉNAT,115253,Bab Bénat 1,1152531,Urban,407.666666666667,128.666666666667,29779.3333333333
Grand Tunis,Tunis,11,La Medina,1152,BAB BÉNAT,115253,Bab Bénat 3,1152533,Urban,407.666666666667,128.666666666667,30594.6666666667
Grand Tunis,Tunis,11,La Medina,1152,SOUK EL NHES,115254,Souk El Nhes 2,1152542,Urban,406.5,147.25,31407.6666666667
Grand Tunis,Tunis,11,La Medina,1152,EL ASSOUAK,115255,El Assouak 1,1152551,Urban,316,140,32536.6666666667
Grand Tunis,Tunis,11,La Medina,1152,BAB MNARA,115256,Bab Mnara 2,1152562,Urban,426.428571428571,151,33705.5238095238
Grand Tunis,Tunis,11,La Medina,1152,BAB MNARA,115256,Bab Mnara 3,1152563,Urban,426.428571428571,151,34131.9523809524
Grand Tunis,Tunis,11,La Medina,1152,BAB MNARA,115256,Bab Mnara 7,1152567,Urban,426.428571428571,151,35837.6666666667
Grand Tunis,Tunis,11,La Medina,1152,TOURBET EL BEY,115257,Tourbet El Bey 2,1152572,Urban,368.5,132.5,36574.6666666667
Grand Tunis,Tunis,11,La Medina,1152,TOURBET EL BEY,115257,Tourbet El Bey 3,1152573,Urban,368.5,132.5,36943.1666666667
